,cStatoCT,cConteaCT,nSitCT,dateCT,O3meanCT
288,9.0,3.0,1003.0,2008-07-19,0.040375
289,9.0,3.0,1003.0,2008-07-20,0.034458
290,9.0,3.0,1003.0,2008-07-21,0.030583
291,9.0,3.0,1003.0,2008-07-22,0.031667
292,9.0,3.0,1003.0,2008-07-23,0.027292
293,9.0,3.0,1003.0,2008-07-24,0.027958
294,9.0,3.0,1003.0,2008-07-25,0.0245
295,9.0,3.0,1003.0,2008-07-26,0.049417
296,9.0,3.0,1003.0,2008-07-27,0.038333
297,9.0,3.0,1003.0,2008-07-28,0.038625
298,9.0,3.0,1003.0,2008-07-29,0.020958
299,9.0,3.0,1003.0,2008-07-30,0.037375
300,9.0,3.0,1003.0,2008-07-31,0.027042
301,9.0,3.0,1003.0,2008-08-01,0.022667
302,9.0,3.0,1003.0,2008-08-02,0.02425
303,9.0,3.0,1003.0,2008-08-03,0.022667
304,9.0,3.0,1003.0,2008-08-04,0.014042
305,9.0,3.0,1003.0,2008-08-05,0.027542
306,9.0,3.0,1003.0,2008-08-06,0.019417
307,9.0,3.0,1003.0,2008-08-07,0.024833
308,9.0,3.0,1003.0,2008-08-08,0.018667
309,9.0,3.0,1003.0,2008-08-09,0.014583
310,9.0,3.0,1003.0,2008-08-10,0.027875
311,9.0,3.0,1003.0,2008-08-11,0.0235
312,9.0,3.0,1003.0,2008-08-12,0.017458
313,9.0,3.0,1003.0,2008-08-13,0.024792
314,9.0,3.0,1003.0,2008-08-14,0.025042
315,9.0,3.0,1003.0,2008-08-15,0.023875
316,9.0,3.0,1003.0,2008-08-16,0.020833
317,9.0,3.0,1003.0,2008-08-17,0.021625
318,9.0,3.0,1003.0,2008-08-18,0.034292
319,9.0,3.0,1003.0,2008-08-19,0.021708
320,9.0,3.0,1003.0,2008-08-20,0.015083
321,9.0,3.0,1003.0,2008-08-21,0.020125
322,9.0,3.0,1003.0,2008-08-22,0.030833
323,9.0,3.0,1003.0,2008-08-23,0.025125
324,9.0,3.0,1003.0,2008-08-24,0.027125
325,9.0,3.0,1003.0,2008-08-25,0.020458
326,9.0,3.0,1003.0,2008-08-26,0.020417
327,9.0,3.0,1003.0,2008-08-27,0.018667
328,9.0,3.0,1003.0,2008-08-28,0.015917
329,9.0,3.0,1003.0,2008-08-29,0.020083
330,9.0,3.0,1003.0,2008-08-30,0.015042
331,9.0,3.0,1003.0,2008-08-31,0.014458
332,9.0,3.0,1003.0,2008-09-01,0.013458
333,9.0,3.0,1003.0,2008-09-02,0.020625
334,9.0,3.0,1003.0,2008-09-03,0.022875
335,9.0,3.0,1003.0,2008-09-04,0.038875
336,9.0,3.0,1003.0,2008-09-05,0.034167
337,9.0,3.0,1003.0,2008-09-06,0.01275
338,9.0,3.0,1003.0,2008-09-07,0.015292
339,9.0,3.0,1003.0,2008-09-08,0.024458
340,9.0,3.0,1003.0,2008-09-09,0.019833
341,9.0,3.0,1003.0,2008-09-10,0.011583
342,9.0,3.0,1003.0,2008-09-11,0.015458
343,9.0,3.0,1003.0,2008-09-12,0.020708
344,9.0,3.0,1003.0,2008-09-17,0.013708
345,9.0,3.0,1003.0,2008-09-18,0.012292
346,9.0,3.0,1003.0,2008-09-19,0.016542
347,9.0,3.0,1003.0,2008-09-20,0.014625
348,9.0,3.0,1003.0,2008-09-21,0.025458
349,9.0,3.0,1003.0,2008-09-22,0.009917
350,9.0,3.0,1003.0,2008-09-23,0.009625
351,9.0,3.0,1003.0,2008-09-24,0.013958
352,9.0,3.0,1003.0,2008-09-25,0.019542
353,9.0,3.0,1003.0,2008-09-26,0.015083
354,9.0,3.0,1003.0,2008-09-27,0.0045
355,9.0,3.0,1003.0,2008-09-28,0.010083
356,9.0,3.0,1003.0,2008-09-29,0.007958
357,9.0,3.0,1003.0,2008-09-30,0.008053
358,9.0,9.0,27.0,2008-03-31,0.027
359,9.0,9.0,27.0,2008-04-01,0.028708
360,9.0,9.0,27.0,2008-04-02,0.038417
361,9.0,9.0,27.0,2008-04-03,0.028125
362,9.0,9.0,27.0,2008-04-04,0.025
363,9.0,9.0,27.0,2008-04-05,0.023458
364,9.0,9.0,27.0,2008-04-06,0.036083
365,9.0,9.0,27.0,2008-04-07,0.037458
366,9.0,9.0,27.0,2008-04-08,0.032875
367,9.0,9.0,27.0,2008-04-09,0.029167
368,9.0,9.0,27.0,2008-04-10,0.023083
369,9.0,9.0,27.0,2008-04-11,0.029458
370,9.0,9.0,27.0,2008-04-12,0.022333
371,9.0,9.0,27.0,2008-04-13,0.031792
372,9.0,9.0,27.0,2008-04-14,0.022542
373,9.0,9.0,27.0,2008-04-15,0.015208
374,9.0,9.0,27.0,2008-04-16,0.020042
375,9.0,9.0,27.0,2008-04-17,0.021792
376,9.0,9.0,27.0,2008-04-18,0.025417
377,9.0,9.0,27.0,2008-04-19,0.044542
378,9.0,9.0,27.0,2008-04-20,0.041917
379,9.0,9.0,27.0,2008-04-21,0.032412
380,9.0,9.0,27.0,2008-04-22,0.024
381,9.0,9.0,27.0,2008-04-23,0.015
382,9.0,9.0,27.0,2008-04-24,0.030375
383,9.0,9.0,27.0,2008-04-25,0.029125
384,9.0,9.0,27.0,2008-04-26,0.046042
385,9.0,9.0,27.0,2008-04-27,0.039083
386,9.0,9.0,27.0,2008-04-28,0.026292
387,9.0,9.0,27.0,2008-04-29,0.025292
388,9.0,9.0,27.0,2008-04-30,0.024167
389,9.0,9.0,27.0,2008-05-01,0.030333
390,9.0,9.0,27.0,2008-09-12,0.025292
391,9.0,9.0,27.0,2008-09-13,0.027167
392,9.0,9.0,27.0,2008-09-14,0.035833
393,9.0,9.0,27.0,2008-09-15,0.025375
394,9.0,9.0,27.0,2008-09-16,0.00775
395,9.0,9.0,27.0,2008-09-17,0.015583
396,9.0,9.0,27.0,2008-09-18,0.01375
397,9.0,9.0,27.0,2008-09-19,0.020417
398,9.0,9.0,27.0,2008-09-20,0.015958
399,9.0,9.0,27.0,2008-09-21,0.026083
400,9.0,9.0,27.0,2008-09-22,0.013958
401,9.0,9.0,27.0,2008-09-23,0.012375
402,9.0,9.0,27.0,2008-09-24,0.017625
403,9.0,9.0,27.0,2008-09-25,0.020167
404,9.0,9.0,27.0,2008-09-26,0.012167
405,9.0,9.0,27.0,2008-09-27,0.008667
406,9.0,9.0,27.0,2008-09-28,0.010583
407,9.0,9.0,27.0,2008-09-29,0.012417
408,9.0,9.0,27.0,2008-09-30,0.014583
409,9.0,9.0,27.0,2008-10-01,0.017529
410,9.0,9.0,27.0,2008-10-02,0.012125
411,9.0,9.0,27.0,2008-10-03,0.00775
412,9.0,9.0,27.0,2008-10-04,0.010875
413,9.0,9.0,27.0,2008-10-05,0.004458
414,9.0,9.0,27.0,2008-10-06,0.0095
415,9.0,9.0,27.0,2008-10-07,0.01025
416,9.0,9.0,27.0,2008-10-08,0.019792
417,9.0,9.0,27.0,2008-10-09,0.017708
418,9.0,9.0,27.0,2008-10-10,0.014375
419,9.0,9.0,27.0,2008-10-11,0.010167
420,9.0,9.0,27.0,2008-10-12,0.010917
421,9.0,9.0,27.0,2008-10-13,0.014958
422,9.0,9.0,27.0,2008-10-14,0.017417
423,9.0,9.0,27.0,2008-10-15,0.012417
424,9.0,9.0,27.0,2008-10-16,0.018292
425,9.0,9.0,27.0,2008-10-17,0.013167
426,9.0,9.0,27.0,2008-10-18,0.015579
427,9.0,9.0,27.0,2008-10-21,0.010833
428,9.0,9.0,27.0,2008-10-22,0.012417
429,9.0,9.0,27.0,2008-10-23,0.008917
430,9.0,9.0,27.0,2008-10-24,0.007458
431,9.0,9.0,27.0,2008-10-25,0.027333
432,9.0,9.0,27.0,2008-10-26,0.020895
433,9.0,9.0,27.0,2008-10-28,0.015357
434,9.0,9.0,27.0,2008-10-29,0.012333
435,9.0,9.0,27.0,2008-10-30,0.011375
436,9.0,9.0,27.0,2008-10-31,0.003
437,9.0,9.0,27.0,2008-11-01,0.017292
438,9.0,9.0,27.0,2008-11-02,0.012292
439,9.0,9.0,27.0,2008-11-03,0.002125
440,9.0,9.0,27.0,2008-11-04,0.003042
441,9.0,9.0,27.0,2008-11-05,0.012958
442,9.0,9.0,27.0,2008-11-06,0.013583
443,9.0,9.0,27.0,2008-11-07,0.009833
444,9.0,9.0,27.0,2008-11-08,0.018542
445,9.0,9.0,27.0,2008-11-09,0.011208
446,9.0,9.0,27.0,2008-11-10,0.014042
447,9.0,9.0,27.0,2008-11-11,0.013708
448,9.0,9.0,27.0,2008-11-12,0.006292
449,9.0,9.0,27.0,2008-11-13,0.018
450,9.0,9.0,27.0,2008-11-14,0.004917
451,9.0,9.0,27.0,2008-11-15,0.022167
452,9.0,9.0,27.0,2008-11-16,0.017042
453,9.0,9.0,27.0,2008-11-17,0.00925
454,9.0,9.0,27.0,2008-11-18,0.022292
455,9.0,9.0,27.0,2008-11-19,0.025583
456,9.0,9.0,27.0,2008-11-20,0.013208
457,9.0,9.0,27.0,2008-11-21,0.022292
458,9.0,9.0,27.0,2008-11-22,0.024375
459,9.0,9.0,27.0,2008-11-23,0.016583
460,9.0,9.0,27.0,2008-11-24,0.019
461,9.0,9.0,27.0,2008-11-25,0.006125
462,9.0,9.0,27.0,2008-11-26,0.002542
463,9.0,9.0,27.0,2008-11-27,0.0075
464,9.0,9.0,27.0,2008-11-29,0.009542
465,9.0,9.0,27.0,2008-11-30,0.007208
466,9.0,9.0,27.0,2008-12-01,0.008
467,9.0,9.0,27.0,2008-12-02,0.004917
468,9.0,9.0,27.0,2008-12-03,0.004667
469,9.0,9.0,27.0,2008-12-04,0.010292
470,9.0,9.0,27.0,2008-12-05,0.015125
471,9.0,9.0,27.0,2008-12-06,0.005167
472,9.0,9.0,27.0,2008-12-07,0.01335
473,9.0,9.0,27.0,2008-12-08,0.010125
474,9.0,9.0,27.0,2008-12-09,0.015542
475,9.0,9.0,27.0,2008-12-10,0.01675
476,9.0,9.0,27.0,2008-12-11,0.004583
477,9.0,9.0,27.0,2008-12-12,0.017208
478,9.0,9.0,27.0,2008-12-13,0.018708
479,9.0,9.0,27.0,2008-12-14,0.011792
480,9.0,9.0,27.0,2008-12-15,0.017417
481,9.0,9.0,27.0,2008-12-16,0.015708
482,9.0,9.0,27.0,2008-12-17,0.002
483,9.0,9.0,27.0,2008-12-18,0.001833
484,9.0,9.0,27.0,2008-12-19,0.009583
485,9.0,9.0,27.0,2008-12-20,0.01775
486,9.0,9.0,27.0,2008-12-21,0.015292
487,9.0,9.0,27.0,2008-12-22,0.016
488,9.0,9.0,27.0,2008-12-23,0.009111
489,9.0,9.0,27.0,2008-12-24,0.015208
490,9.0,9.0,27.0,2008-12-25,0.020542
491,9.0,9.0,27.0,2008-12-26,0.007042
492,9.0,9.0,27.0,2008-12-27,0.000542
493,9.0,9.0,27.0,2008-12-28,0.011833
494,9.0,9.0,27.0,2008-12-29,0.010667
495,9.0,9.0,27.0,2008-12-30,0.017583
496,9.0,9.0,27.0,2008-12-31,0.021786
497,9.0,1.0,9003.0,2009-03-31,0.0295
498,9.0,1.0,9003.0,2009-04-01,0.033875
499,9.0,1.0,9003.0,2009-04-02,0.023458
500,9.0,1.0,9003.0,2009-04-03,0.030167
501,9.0,1.0,9003.0,2009-04-04,0.040333
502,9.0,1.0,9003.0,2009-04-05,0.032292
503,9.0,1.0,9003.0,2009-04-06,0.023292
504,9.0,1.0,9003.0,2009-04-07,0.032333
505,9.0,1.0,9003.0,2009-04-08,0.025125
506,9.0,1.0,9003.0,2009-04-09,0.025167
507,9.0,1.0,9003.0,2009-04-10,0.0325
508,9.0,1.0,9003.0,2009-04-11,0.039208
509,9.0,1.0,9003.0,2009-04-12,0.04225
510,9.0,1.0,9003.0,2009-04-13,0.030458
511,9.0,1.0,9003.0,2009-04-14,0.027875
512,9.0,1.0,9003.0,2009-04-15,0.027167
513,9.0,1.0,9003.0,2009-04-16,0.031458
514,9.0,1.0,9003.0,2009-04-17,0.030667
515,9.0,1.0,9003.0,2009-04-22,0.024333
516,9.0,1.0,9003.0,2009-04-23,0.032667
517,9.0,1.0,9003.0,2009-04-24,0.03275
518,9.0,1.0,9003.0,2009-04-25,0.0305
519,9.0,1.0,9003.0,2009-04-26,0.04525
520,9.0,1.0,9003.0,2009-04-27,0.035042
