,cStatoMD,cConteaMD,nSitMD,dateMD,O3meanMD
217,24.0,5.0,3001.0,2008-08-25,0.035333
218,24.0,5.0,3001.0,2008-08-26,0.022083
219,24.0,5.0,3001.0,2008-08-27,0.030625
220,24.0,5.0,3001.0,2008-08-28,0.0325
221,24.0,5.0,3001.0,2008-08-29,0.014875
222,24.0,5.0,3001.0,2008-08-30,0.024625
223,24.0,5.0,3001.0,2008-08-31,0.026375
224,24.0,5.0,3001.0,2008-09-01,0.023375
225,24.0,5.0,3001.0,2008-09-02,0.024875
226,24.0,5.0,3001.0,2008-09-03,0.041083
227,24.0,5.0,3001.0,2008-09-04,0.052125
228,24.0,5.0,3001.0,2008-09-05,0.032542
229,24.0,5.0,3001.0,2008-09-06,0.015417
230,24.0,5.0,3001.0,2008-09-07,0.023708
231,24.0,5.0,3001.0,2008-09-08,0.040083
232,24.0,5.0,3001.0,2008-09-09,0.023792
233,24.0,5.0,3001.0,2008-09-10,0.028708
234,24.0,5.0,3001.0,2008-09-11,0.028292
235,24.0,5.0,3001.0,2008-09-12,0.012542
236,24.0,5.0,3001.0,2008-09-13,0.027
237,24.0,5.0,3001.0,2008-09-14,0.028458
238,24.0,5.0,3001.0,2008-09-15,0.03025
239,24.0,5.0,3001.0,2008-09-16,0.014583
240,24.0,5.0,3001.0,2008-09-17,0.016708
241,24.0,5.0,3001.0,2008-09-18,0.027542
242,24.0,5.0,3001.0,2008-09-19,0.024458
243,24.0,5.0,3001.0,2008-09-20,0.019333
244,24.0,5.0,3001.0,2008-09-21,0.024333
245,24.0,5.0,3001.0,2008-09-22,0.034875
246,24.0,5.0,3001.0,2008-09-23,0.022958
247,24.0,5.0,3001.0,2008-09-24,0.027208
248,24.0,5.0,3001.0,2008-09-25,0.019
249,24.0,5.0,3001.0,2008-09-26,0.013708
250,24.0,5.0,3001.0,2008-09-27,0.022292
251,24.0,5.0,3001.0,2008-09-28,0.019
252,24.0,5.0,3001.0,2008-09-29,0.013708
253,24.0,5.0,3001.0,2008-09-30,0.019042
254,24.0,5.0,3001.0,2008-10-01,0.012333
255,24.0,5.0,3001.0,2008-10-02,0.014
256,24.0,5.0,3001.0,2008-10-03,0.015042
257,24.0,5.0,3001.0,2008-10-04,0.020417
258,24.0,5.0,3001.0,2008-10-05,0.02325
259,24.0,5.0,3001.0,2008-10-06,0.019917
260,24.0,5.0,3001.0,2008-10-07,0.012417
261,24.0,5.0,3001.0,2008-10-08,0.025708
262,24.0,5.0,3001.0,2008-10-09,0.013875
263,24.0,5.0,3001.0,2008-10-10,0.015125
264,24.0,5.0,3001.0,2008-10-11,0.016583
265,24.0,5.0,3001.0,2008-10-12,0.0175
266,24.0,5.0,3001.0,2008-10-13,0.012792
267,24.0,5.0,3001.0,2008-10-14,0.021375
268,24.0,5.0,3001.0,2008-10-15,0.014292
269,24.0,5.0,3001.0,2008-10-16,0.020583
270,24.0,5.0,3001.0,2008-10-17,0.015542
271,24.0,5.0,3001.0,2008-10-18,0.021083
272,24.0,5.0,3001.0,2008-10-19,0.01425
273,24.0,5.0,3001.0,2008-10-20,0.0075
274,24.0,5.0,3001.0,2008-10-21,0.020167
275,24.0,5.0,3001.0,2008-10-22,0.0125
276,24.0,5.0,3001.0,2008-10-23,0.007917
277,24.0,5.0,3001.0,2008-10-24,0.017708
278,24.0,5.0,3001.0,2008-10-25,0.020591
279,24.0,5.0,3001.0,2008-10-26,0.011458
280,24.0,5.0,3001.0,2008-10-27,0.011533
281,24.0,5.0,3001.0,2008-10-28,0.018208
282,24.0,5.0,3001.0,2008-10-29,0.016
283,24.0,5.0,3001.0,2008-10-30,0.000333
284,24.0,5.0,3001.0,2008-10-31,0.001067
285,24.0,5.0,3001.0,2008-11-01,0.001833
286,24.0,5.0,3001.0,2008-11-02,0.024
287,24.0,5.0,3001.0,2008-11-03,0.007882
288,24.0,5.0,3001.0,2008-11-04,0.007375
289,24.0,5.0,3001.0,2008-11-05,0.023542
290,24.0,5.0,3001.0,2008-11-06,0.023417
291,24.0,5.0,3001.0,2008-11-07,0.014875
292,24.0,5.0,3001.0,2008-11-08,0.016583
293,24.0,5.0,3001.0,2008-11-09,0.017333
294,24.0,5.0,3001.0,2008-11-10,0.016458
295,24.0,5.0,3001.0,2008-11-11,0.012292
296,24.0,5.0,3001.0,2008-11-12,0.00925
297,24.0,5.0,3001.0,2008-11-13,0.004625
298,24.0,5.0,3001.0,2008-11-14,0.001375
299,24.0,5.0,3001.0,2008-11-15,0.0125
300,24.0,5.0,3001.0,2008-11-16,0.015625
301,24.0,5.0,3001.0,2008-11-17,0.013042
302,24.0,5.0,3001.0,2008-11-18,0.023333
303,24.0,5.0,3001.0,2008-11-19,0.017792
304,24.0,5.0,3001.0,2008-11-20,0.0085
305,24.0,5.0,3001.0,2008-11-21,0.017792
306,24.0,5.0,3001.0,2008-11-22,0.018625
307,24.0,5.0,3001.0,2008-11-23,0.009958
308,24.0,5.0,3001.0,2008-11-24,0.018583
309,24.0,5.0,3001.0,2008-11-25,0.012958
310,24.0,5.0,3001.0,2008-11-26,0.008125
311,24.0,5.0,3001.0,2008-11-27,0.005833
312,24.0,5.0,3001.0,2008-11-28,0.007875
313,24.0,5.0,3001.0,2008-11-29,0.00975
314,24.0,5.0,3001.0,2008-11-30,0.013417
315,24.0,5.0,3001.0,2008-12-01,0.009417
316,24.0,5.0,3001.0,2008-12-02,0.007417
317,24.0,5.0,3001.0,2008-12-03,0.009625
318,24.0,5.0,3001.0,2008-12-04,0.010375
319,24.0,5.0,3001.0,2008-12-05,0.009292
320,24.0,5.0,3001.0,2008-12-06,0.007042
321,24.0,5.0,3001.0,2008-12-07,0.022792
322,24.0,5.0,3001.0,2008-12-08,0.018292
323,24.0,5.0,3001.0,2008-12-09,0.011056
324,24.0,5.0,3001.0,2008-12-10,0.008292
325,24.0,5.0,3001.0,2008-12-11,0.001208
326,24.0,5.0,3001.0,2008-12-12,0.014667
327,24.0,5.0,3001.0,2008-12-13,0.010083
328,24.0,5.0,3001.0,2008-12-14,0.013167
329,24.0,5.0,3001.0,2008-12-15,0.012292
330,24.0,5.0,3001.0,2008-12-16,0.013625
331,24.0,5.0,3001.0,2008-12-17,0.000583
332,24.0,5.0,3001.0,2008-12-18,0.002208
333,24.0,5.0,3001.0,2008-12-19,0.0
334,24.0,5.0,3001.0,2008-12-20,0.009917
