,cStatoPen,cConteaPen,nSitPen,datePen,O3meanPen
198,42.0,7.0,14.0,2008-04-21,0.032125
199,42.0,7.0,14.0,2008-04-22,0.029833
200,42.0,7.0,14.0,2008-04-23,0.023458
201,42.0,7.0,14.0,2008-04-24,0.031875
202,42.0,7.0,14.0,2008-04-25,0.019167
203,42.0,7.0,14.0,2008-04-26,0.027542
204,42.0,7.0,14.0,2008-04-27,0.035042
205,42.0,7.0,14.0,2008-04-28,0.033375
206,42.0,7.0,14.0,2008-04-29,0.037458
207,42.0,7.0,14.0,2008-04-30,0.035333
208,42.0,7.0,14.0,2008-05-01,0.025125
209,42.0,7.0,14.0,2008-05-02,0.02475
210,42.0,7.0,14.0,2008-05-03,0.0275
211,42.0,7.0,14.0,2008-05-04,0.035292
212,42.0,7.0,14.0,2008-05-05,0.031542
213,42.0,7.0,14.0,2008-05-06,0.031708
214,42.0,7.0,14.0,2008-05-07,0.041625
215,42.0,7.0,14.0,2008-05-08,0.019083
216,42.0,7.0,14.0,2008-05-09,0.023333
217,42.0,7.0,14.0,2008-05-10,0.029917
218,42.0,7.0,14.0,2008-05-11,0.032792
219,42.0,7.0,14.0,2008-05-12,0.029417
220,42.0,7.0,14.0,2008-05-13,0.027125
221,42.0,7.0,14.0,2008-05-14,0.020167
222,42.0,7.0,14.0,2008-05-15,0.03
223,42.0,7.0,14.0,2008-05-16,0.032
224,42.0,7.0,14.0,2008-05-17,0.025708
225,42.0,7.0,14.0,2008-05-18,0.028417
226,42.0,7.0,14.0,2008-05-19,0.025333
227,42.0,7.0,14.0,2008-05-20,0.021125
228,42.0,7.0,14.0,2008-05-21,0.021042
229,42.0,7.0,14.0,2008-05-22,0.013417
230,42.0,7.0,14.0,2008-05-23,0.016875
231,42.0,7.0,14.0,2008-05-24,0.021333
232,42.0,7.0,14.0,2008-05-25,0.028917
233,42.0,7.0,14.0,2008-05-26,0.027292
234,42.0,7.0,14.0,2008-05-27,0.019458
235,42.0,7.0,14.0,2008-05-28,0.025792
236,42.0,7.0,14.0,2008-05-29,0.029583
237,42.0,7.0,14.0,2008-05-30,0.03375
238,42.0,7.0,14.0,2008-05-31,0.034958
239,42.0,7.0,14.0,2008-06-01,0.034917
240,42.0,7.0,14.0,2008-06-02,0.026083
241,42.0,7.0,14.0,2008-06-03,0.014708
242,42.0,7.0,14.0,2008-06-23,0.022708
243,42.0,7.0,14.0,2008-06-24,0.025042
244,42.0,7.0,14.0,2008-06-25,0.032583
245,42.0,7.0,14.0,2008-06-26,0.037208
246,42.0,7.0,14.0,2008-06-27,0.022833
247,42.0,7.0,14.0,2008-06-28,0.029167
248,42.0,7.0,14.0,2008-06-29,0.021917
249,42.0,7.0,14.0,2008-06-30,0.01675
250,42.0,7.0,14.0,2008-07-01,0.021875
251,42.0,7.0,14.0,2008-07-02,0.038625
252,42.0,7.0,14.0,2008-07-03,0.030333
253,42.0,7.0,14.0,2008-07-04,0.022042
254,42.0,7.0,14.0,2008-07-05,0.0235
255,42.0,7.0,14.0,2008-07-06,0.021542
256,42.0,7.0,14.0,2008-07-07,0.023875
257,42.0,7.0,14.0,2008-07-08,0.030542
258,42.0,7.0,14.0,2008-07-09,0.025458
259,42.0,7.0,14.0,2008-07-10,0.023542
260,42.0,7.0,14.0,2008-07-11,0.025958
261,42.0,7.0,14.0,2008-07-12,0.03175
262,42.0,7.0,14.0,2008-07-13,0.018167
263,42.0,7.0,14.0,2008-07-14,0.024167
264,42.0,7.0,14.0,2008-07-15,0.026583
265,42.0,7.0,14.0,2008-07-16,0.029292
266,42.0,7.0,14.0,2008-07-17,0.028792
267,42.0,7.0,14.0,2008-07-18,0.032125
268,42.0,7.0,14.0,2008-07-19,0.038375
269,42.0,7.0,14.0,2008-07-20,0.022542
270,42.0,7.0,14.0,2008-07-21,0.026917
271,42.0,7.0,14.0,2008-07-22,0.032917
272,42.0,7.0,14.0,2008-07-23,0.0305
273,42.0,7.0,14.0,2008-07-24,0.023542
274,42.0,7.0,14.0,2008-07-25,0.027792
275,42.0,7.0,14.0,2008-07-26,0.027458
276,42.0,7.0,14.0,2008-07-27,0.0245
277,42.0,7.0,14.0,2008-07-28,0.031
278,42.0,7.0,14.0,2008-07-29,0.035417
279,42.0,7.0,14.0,2008-07-30,0.018167
280,42.0,7.0,14.0,2008-07-31,0.033417
281,42.0,7.0,14.0,2008-08-01,0.034208
282,42.0,7.0,14.0,2008-08-02,0.029125
283,42.0,7.0,14.0,2008-08-03,0.016792
284,42.0,7.0,14.0,2008-08-04,0.021708
285,42.0,7.0,14.0,2008-08-05,0.03125
286,42.0,7.0,14.0,2008-08-06,0.026667
287,42.0,7.0,14.0,2008-08-07,0.02675
288,42.0,7.0,14.0,2008-08-08,0.017417
289,42.0,7.0,14.0,2008-08-09,0.027042
290,42.0,7.0,14.0,2008-08-10,0.022375
291,42.0,7.0,14.0,2008-08-11,0.018667
292,42.0,7.0,14.0,2008-08-12,0.016542
293,42.0,7.0,14.0,2008-08-13,0.017292
294,42.0,7.0,14.0,2008-08-14,0.010958
295,42.0,7.0,14.0,2008-08-15,0.017583
296,42.0,7.0,14.0,2008-08-16,0.0155
297,42.0,7.0,14.0,2008-08-17,0.024167
298,42.0,7.0,14.0,2008-08-18,0.031
299,42.0,7.0,14.0,2008-08-19,0.016125
300,42.0,7.0,14.0,2008-08-20,0.022125
301,42.0,7.0,14.0,2008-08-21,0.036625
302,42.0,7.0,14.0,2008-08-22,0.033708
303,42.0,7.0,14.0,2008-08-23,0.030958
304,42.0,7.0,14.0,2008-08-24,0.0345
305,42.0,7.0,14.0,2008-08-25,0.025333
306,42.0,7.0,14.0,2008-08-26,0.026375
307,42.0,7.0,14.0,2008-08-27,0.024083
308,42.0,7.0,14.0,2008-08-28,0.017167
309,42.0,7.0,14.0,2008-08-29,0.019333
310,42.0,7.0,14.0,2008-08-30,0.02175
311,42.0,7.0,14.0,2008-08-31,0.017583
312,42.0,7.0,14.0,2008-09-01,0.024333
313,42.0,7.0,14.0,2008-09-02,0.031833
314,42.0,7.0,14.0,2008-09-03,0.031458
315,42.0,7.0,14.0,2008-09-04,0.036167
316,42.0,7.0,14.0,2008-09-05,0.026958
317,42.0,7.0,14.0,2008-09-06,0.011667
318,42.0,7.0,14.0,2008-09-07,0.014333
319,42.0,7.0,14.0,2008-09-08,0.022
320,42.0,7.0,14.0,2008-09-09,0.016375
321,42.0,7.0,14.0,2008-09-10,0.015417
322,42.0,7.0,14.0,2008-09-11,0.018458
323,42.0,7.0,14.0,2008-09-12,0.004667
324,42.0,7.0,14.0,2008-09-13,0.004
325,42.0,7.0,14.0,2008-09-14,0.024292
326,42.0,7.0,14.0,2008-09-15,0.019042
327,42.0,7.0,14.0,2008-09-16,0.012208
328,42.0,7.0,14.0,2008-09-17,0.017875
329,42.0,7.0,14.0,2008-09-18,0.013917
330,42.0,7.0,14.0,2008-09-19,0.024542
331,42.0,7.0,14.0,2008-09-20,0.021958
332,42.0,7.0,14.0,2008-09-21,0.023417
333,42.0,7.0,14.0,2008-09-22,0.014833
334,42.0,7.0,14.0,2008-09-23,0.018875
335,42.0,7.0,14.0,2008-09-24,0.018708
336,42.0,7.0,14.0,2008-09-25,0.017125
337,42.0,7.0,14.0,2008-09-26,0.017458
338,42.0,7.0,14.0,2008-09-27,0.012708
339,42.0,7.0,14.0,2008-09-28,0.011625
340,42.0,7.0,14.0,2008-09-29,0.018958
341,42.0,7.0,14.0,2008-09-30,0.0195
342,42.0,7.0,14.0,2008-10-01,0.013792
343,42.0,7.0,14.0,2008-10-02,0.018667
344,42.0,7.0,14.0,2008-10-03,0.0125
345,42.0,7.0,14.0,2008-10-04,0.013167
346,42.0,7.0,14.0,2008-10-05,0.012417
347,42.0,7.0,14.0,2008-10-06,0.011458
348,42.0,7.0,14.0,2008-10-07,0.013
349,42.0,7.0,14.0,2008-10-08,0.009083
350,42.0,7.0,14.0,2008-10-09,0.01425
351,42.0,7.0,14.0,2008-10-10,0.011208
352,42.0,7.0,14.0,2008-10-11,0.013042
353,42.0,7.0,14.0,2008-10-12,0.013125
354,42.0,7.0,14.0,2008-10-13,0.005292
355,42.0,7.0,14.0,2008-10-14,0.012
356,42.0,7.0,14.0,2008-10-15,0.001417
357,42.0,7.0,14.0,2008-10-16,0.013833
358,42.0,7.0,14.0,2008-10-17,0.008375
359,42.0,7.0,14.0,2008-10-18,0.013875
360,42.0,7.0,14.0,2008-10-19,0.010792
361,42.0,7.0,14.0,2008-10-20,0.009083
362,42.0,7.0,14.0,2008-10-21,0.022917
363,42.0,7.0,14.0,2008-10-22,0.015667
364,42.0,7.0,14.0,2008-10-23,0.014333
365,42.0,7.0,14.0,2008-10-24,0.012125
366,42.0,7.0,14.0,2008-10-25,0.011292
367,42.0,7.0,14.0,2008-10-26,0.017625
368,42.0,7.0,14.0,2008-10-27,0.01725
369,42.0,7.0,14.0,2008-10-28,0.018042
370,42.0,7.0,14.0,2008-10-29,0.014208
371,42.0,7.0,14.0,2008-10-30,0.010875
372,42.0,7.0,14.0,2008-10-31,0.013263
